,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,score
0,3,12,2,8,3,8,2,5,1,1,2,4,3,6,1,5,3,0,3,8,4,7,4,0,0.741974746869957
1,3,8,2,8,3,8,2,5,1,1,2,4,3,6,1,5,3,0,3,8,4,7,4,0,0.66250067218505
2,3,12,2,8,3,8,2,5,1,1,4,4,3,6,1,5,3,0,3,8,4,7,4,0,0.663549407492158
3,3,12,2,8,3,8,2,5,1,1,2,4,1,6,1,5,3,0,3,8,4,7,4,0,0.744354025336141
4,3,12,2,8,3,8,2,5,1,1,2,4,3,6,1,0,3,0,3,8,4,7,4,0,0.517549750709325
5,3,12,2,8,3,8,2,5,1,1,2,4,3,6,1,9,3,0,3,8,4,7,4,0,0.627508608417973
6,3,0,2,8,3,8,2,5,1,1,2,4,1,6,1,5,3,0,3,8,4,7,4,0,0.564734252610071
7,3,12,2,8,3,8,2,5,1,3,2,4,1,6,1,5,3,0,3,8,4,7,4,0,0.608803866333683
8,3,12,2,8,3,8,2,5,1,1,1,4,1,6,1,5,3,0,3,8,4,7,4,0,0.505230306033165
9,3,12,2,8,3,8,2,5,1,1,2,4,1,6,1,5,3,0,3,12,4,7,4,0,0.668135956278102
10,3,12,2,8,3,8,2,5,1,1,2,4,1,6,1,5,3,11,3,12,4,7,4,0,0.538225086842534
11,3,12,2,8,3,8,2,5,1,1,2,2,1,6,1,5,3,11,3,12,4,7,4,0,0.503795110737572
12,3,12,2,8,3,8,2,9,1,1,2,2,1,6,1,5,3,11,3,12,4,7,4,0,0.539156517508163
13,3,12,2,8,3,8,2,5,1,1,2,2,1,6,1,5,3,10,3,12,4,7,4,0,0.510823376714944
14,2,0,1,0,7,5,8,2,6,5,6,2,3,1,8,4,0,1,0,2,5,8,1,8,0.571892658951044
15,2,0,1,0,7,5,8,2,6,5,6,2,3,1,8,4,0,1,12,2,5,8,1,8,0.514722042977603
16,2,0,1,0,7,5,8,2,6,5,6,2,3,1,8,4,6,1,10,2,5,8,1,8,0.60880258861444
17,2,0,1,0,7,5,8,2,6,5,6,2,3,1,8,4,12,1,0,2,5,8,1,8,0.537804540271679
18,2,0,3,0,7,5,8,2,6,5,6,2,3,1,8,4,6,1,10,2,5,8,1,8,0.559055420381482
19,3,0,1,10,7,4,4,3,4,7,4,6,3,0,1,1,4,5,6,2,4,7,4,8,0.557692877247936
20,1,6,1,0,2,7,1,5,7,4,6,1,5,5,1,0,7,3,6,4,2,2,5,2,0.610896871920701
21,1,6,1,0,2,7,1,5,7,4,6,1,5,5,1,11,7,3,6,4,2,2,5,2,0.527799241707955
22,1,10,1,0,2,7,1,5,7,4,6,1,5,5,1,0,7,3,6,4,2,2,5,2,0.633461368293863
23,1,10,1,10,2,7,1,5,7,4,6,1,5,5,1,0,7,3,6,4,2,2,5,2,0.504427316508237
24,1,10,1,0,2,7,1,5,7,4,6,1,5,5,1,0,7,3,6,4,4,4,5,2,0.583359305537926
25,1,2,1,10,2,7,1,5,7,4,6,1,5,5,1,0,7,3,6,4,2,2,5,2,0.556892317570525
26,1,12,1,0,2,7,1,5,7,4,6,1,5,5,1,1,7,3,6,4,2,2,5,2,0.564295531217499
27,1,12,1,0,2,7,3,5,7,4,6,1,5,5,1,1,7,3,6,4,2,2,5,2,0.53027122245479
28,3,12,2,8,3,12,2,5,1,1,2,4,3,6,1,5,3,0,3,8,4,7,4,0,0.641157198822231
29,3,12,2,8,3,8,2,5,1,1,4,4,3,6,1,5,3,0,3,8,2,7,4,0,0.630533404918177
30,3,12,2,8,3,8,2,5,3,1,4,4,3,6,1,5,3,0,3,8,4,7,4,0,0.59177834981971
31,3,12,2,8,3,8,2,5,1,1,4,4,3,6,1,0,3,0,3,8,4,7,4,0,0.536774794986557
32,3,12,2,8,3,8,2,5,0,1,4,4,0,6,1,5,3,0,3,8,4,7,4,0,0.625894868407288
33,3,0,2,8,3,8,2,5,1,1,2,4,3,6,1,5,3,0,3,8,4,7,4,0,0.59938938728016
34,3,12,2,8,3,8,2,5,1,1,2,2,3,6,1,5,3,0,3,8,4,7,4,0,0.663302972577488
35,3,12,2,8,3,8,2,5,1,1,2,4,3,6,1,5,3,9,3,8,4,7,4,0,0.58939785364444
36,3,8,2,8,3,8,2,5,3,1,2,4,3,6,1,5,3,0,3,8,4,7,4,0,0.633031880956604
37,3,8,2,8,3,8,2,5,1,1,2,4,4,1,1,5,3,0,3,8,4,7,4,0,0.524966994329444
38,3,8,2,8,3,8,2,5,1,1,2,4,3,6,1,5,3,7,3,8,4,7,4,0,0.50017925310971
39,3,12,2,4,3,8,2,5,1,1,2,4,3,6,1,5,3,0,3,8,4,7,4,0,0.519778505430276
40,3,12,2,8,3,8,2,5,1,1,2,4,3,6,1,5,3,0,3,8,2,7,4,0,0.59496983158106
41,3,10,2,8,3,8,2,5,1,1,2,4,3,6,1,9,3,0,3,8,4,7,4,0,0.510594432262537
42,3,12,2,8,3,8,2,5,1,1,2,2,3,6,1,9,3,0,3,8,4,7,4,0,0.627736872025085
43,3,12,2,8,3,8,2,5,1,1,2,4,3,6,1,9,3,0,3,8,2,7,4,0,0.605922058608542
44,3,12,2,8,3,8,2,5,1,1,2,2,3,6,1,9,3,11,3,8,4,7,4,0,0.557718707280461
45,3,12,2,8,3,8,2,5,1,1,2,2,3,6,1,9,3,0,3,8,4,7,4,12,0.660466239293824
46,3,8,2,8,3,8,2,5,1,1,2,2,3,6,1,9,3,0,3,8,4,7,4,12,0.671534791021977
47,3,12,2,12,3,8,2,5,1,1,2,2,3,6,1,9,3,0,3,8,4,7,4,12,0.60440910033917
48,3,12,2,8,3,8,2,5,3,1,2,2,3,6,1,9,3,0,3,8,4,7,4,12,0.535925249456979
49,3,12,2,8,3,8,2,5,1,1,2,2,2,6,1,9,3,0,3,8,4,7,4,12,0.578199341775993
50,3,12,2,8,3,8,2,5,1,1,2,3,1,6,1,9,3,0,3,8,4,7,4,12,0.516747429313063
51,3,12,2,8,3,8,2,5,1,1,2,2,3,6,1,9,3,0,3,8,2,7,4,12,0.693483830147094
52,3,4,2,8,3,8,2,5,1,1,2,2,3,6,1,9,3,0,3,8,2,7,4,12,0.502117585560365
53,3,12,2,12,3,8,2,5,1,1,2,2,3,6,1,9,3,0,3,8,2,7,4,12,0.550479502018737
54,3,12,2,8,3,8,2,5,1,3,2,2,3,6,1,9,3,0,3,8,2,7,4,12,0.621170840165401
55,3,12,2,8,3,8,2,5,1,1,2,2,1,6,1,9,3,0,3,8,2,7,4,12,0.639024062083876
56,3,12,2,8,3,8,2,5,1,1,2,2,3,6,1,9,3,0,3,8,2,7,4,10,0.503108619706287
57,3,12,2,4,3,8,2,5,1,3,2,2,3,6,1,9,3,0,3,8,2,7,4,12,0.579708575669656
58,3,12,2,8,3,8,2,5,1,3,2,2,3,6,1,9,3,0,3,8,3,7,4,12,0.592348110444123
59,3,12,2,8,3,8,2,5,1,3,2,2,3,6,1,9,3,7,3,8,2,7,4,12,0.613648787614258
60,3,12,2,8,3,8,2,5,1,3,2,2,3,6,1,9,3,0,3,8,1,7,4,12,0.530599193638806
61,3,12,2,8,3,8,2,5,1,3,2,2,3,6,1,9,3,0,3,8,2,7,4,8,0.539504811181706
62,3,12,2,8,3,8,2,5,1,3,2,2,3,6,1,9,3,0,3,8,2,7,4,0,0.711035082082212
63,3,12,2,8,3,8,2,5,1,1,2,2,3,6,1,9,3,0,3,8,2,7,4,0,0.640033648005577
64,3,12,2,8,3,8,2,5,1,3,4,2,3,6,1,9,3,0,3,8,2,7,4,0,0.521922030226513
65,3,12,2,8,3,8,2,5,1,3,2,2,3,6,1,9,3,9,3,8,2,7,4,0,0.592159164937444
66,3,12,2,8,3,8,2,5,1,3,2,2,3,6,1,0,3,0,3,8,2,7,4,0,0.582734311112364
67,3,12,2,8,3,8,2,5,1,3,2,2,3,6,1,9,3,11,3,8,2,7,4,0,0.593130294514362
68,3,12,2,8,3,8,2,5,1,3,2,2,3,6,1,9,3,0,3,8,2,7,4,10,0.535682369357772
69,3,8,2,8,3,8,2,5,1,3,2,2,3,6,1,9,3,11,3,8,2,7,4,0,0.520467016767061
70,3,12,2,8,3,8,2,5,1,3,2,2,4,6,1,9,3,11,3,8,2,7,4,0,0.543795482453054
71,3,12,2,8,3,8,2,5,1,3,2,2,3,6,1,5,3,11,3,8,2,7,4,0,0.699677977472253
72,3,12,2,8,3,8,2,5,1,3,2,2,3,6,1,9,3,11,3,8,4,7,4,0,0.628036870598298
73,3,12,2,8,3,8,2,5,1,3,2,2,3,6,1,9,3,11,3,8,3,7,4,0,0.539371985192528
74,3,12,2,8,3,8,2,5,1,3,4,2,3,6,1,5,3,11,3,8,2,7,4,0,0.585412535463545
75,3,12,2,8,3,8,2,5,1,3,2,2,1,6,1,5,3,11,3,8,2,7,4,0,0.664790756223226
76,3,12,2,8,3,8,2,5,1,3,2,2,3,6,1,5,3,7,3,8,2,7,4,0,0.588778494517702
77,3,12,2,8,3,8,2,5,1,3,2,2,3,6,1,5,3,11,3,8,2,12,4,0,0.527610700730531
78,3,12,2,8,3,8,2,5,1,3,2,2,3,6,1,5,3,11,3,8,2,7,4,12,0.670916129360608
79,3,12,2,8,3,8,2,5,1,3,2,2,1,6,1,5,3,7,3,8,2,7,4,0,0.619675827166843
80,3,12,2,8,3,8,2,5,1,3,2,2,3,6,1,5,3,0,3,8,2,7,4,0,0.68565560407828
81,3,12,2,8,3,8,2,5,1,1,2,2,3,6,1,5,3,11,3,8,2,7,4,12,0.659105573862144
82,3,12,2,4,3,4,2,5,1,3,2,2,3,6,1,5,3,11,3,8,2,7,4,12,0.629808352277394
83,3,12,2,8,3,8,2,5,1,3,2,2,3,6,1,5,3,0,3,8,2,7,4,12,0.53041530648137
84,3,12,2,4,3,4,2,5,3,3,2,2,3,6,1,5,3,11,3,8,2,7,4,12,0.618007927789435
85,3,12,2,4,3,4,2,5,1,3,2,2,1,6,1,5,3,11,3,8,2,7,4,12,0.506907472007169
86,3,12,2,4,3,4,2,5,1,4,2,2,2,6,1,5,3,11,3,8,2,7,4,12,0.58292085878094
87,3,12,2,4,3,4,2,5,1,3,2,2,1,6,1,5,3,10,3,8,2,7,4,12,0.524668361315767
88,3,12,2,4,3,4,2,5,1,1,2,2,3,6,1,5,3,11,3,8,2,7,4,12,0.657308790906088
89,3,12,2,4,3,4,2,5,1,3,2,2,3,6,1,5,3,11,3,8,4,7,4,12,0.77083319855741
90,3,8,2,4,3,4,2,5,1,3,2,2,3,6,1,5,3,11,3,8,4,7,4,12,0.528555843672703
91,3,12,2,4,3,4,2,5,3,3,2,2,3,6,1,5,3,11,3,8,4,7,4,12,0.710650226348083
92,3,12,2,4,3,4,2,5,1,3,2,2,3,6,1,5,3,10,3,8,4,7,4,12,0.570192356988361
93,3,12,2,4,3,4,2,5,1,3,2,2,3,6,1,5,3,0,3,8,4,7,4,12,0.551666234513617
94,3,12,2,4,3,4,2,5,1,3,2,2,3,6,1,5,3,3,3,8,4,7,4,12,0.518972692685346
95,3,6,2,4,3,4,2,5,1,3,2,2,3,6,1,5,3,3,3,8,4,7,4,12,0.642418671593285
96,3,12,2,4,3,4,2,5,1,3,2,2,3,6,1,5,3,10,3,8,4,7,4,8,0.519320193438191
97,3,6,2,4,3,4,2,5,1,3,2,2,3,6,1,5,3,3,3,8,4,7,4,6,0.500110156368432
98,3,6,2,4,3,8,2,5,1,3,2,2,3,6,1,1,3,3,3,8,4,7,4,12,0.543734910833532
99,3,6,2,4,3,4,2,5,2,3,2,2,3,6,1,5,3,3,3,8,4,7,4,12,0.530667855342931
100,3,6,2,4,3,4,2,5,1,1,2,2,3,6,1,5,3,3,3,8,4,7,4,12,0.610911492647538
101,3,6,2,4,3,4,2,5,1,3,2,2,1,6,1,5,3,3,3,8,4,7,4,12,0.557593818288637
102,3,6,2,4,3,4,2,5,1,3,2,2,3,10,1,5,3,3,3,8,4,7,4,12,0.501957468539745
103,3,6,2,4,3,4,2,5,1,3,2,2,3,2,1,11,3,3,3,8,4,7,4,12,0.515857102675656
104,3,10,2,4,3,4,2,5,1,3,2,2,1,6,1,5,3,3,3,8,4,7,4,12,0.633609749707665
105,3,6,2,4,3,4,2,5,4,3,2,2,1,6,1,5,3,3,3,8,4,7,4,12,0.562761294594119
106,3,6,2,4,3,4,2,5,1,1,2,2,1,6,1,5,3,3,3,8,4,7,4,12,0.632182176278715
107,3,6,2,4,3,4,2,5,1,4,2,2,1,6,1,5,3,3,3,8,4,7,4,12,0.576258827371446
108,3,10,2,4,3,4,2,5,1,3,2,4,1,6,1,5,3,3,3,8,4,7,4,12,0.663070960531278
109,3,10,2,4,3,4,2,5,1,3,2,2,1,6,1,5,3,3,3,8,2,7,4,12,0.544203674422198
110,3,10,2,4,3,4,2,5,1,3,2,2,1,6,1,5,3,3,3,8,4,7,4,0,0.659224872720146
111,1,6,1,0,2,7,3,5,7,4,6,1,5,9,1,0,7,3,6,4,2,2,5,2,0.645198893500494
112,1,6,1,0,2,7,1,5,7,4,6,1,5,9,1,0,7,3,6,4,2,2,5,2,0.631126520383204
113,1,6,1,10,2,7,3,5,7,4,6,1,5,9,1,0,7,3,6,4,2,2,5,2,0.54174547167759
114,1,6,1,12,2,7,3,5,7,4,6,1,5,9,1,0,7,3,6,4,2,2,5,2,0.53020916191432
115,1,6,1,6,2,7,3,5,7,4,6,1,5,9,1,1,7,3,6,4,2,2,5,2,0.518451528694587
116,1,6,1,10,2,7,4,5,7,4,6,1,5,9,1,0,7,3,6,4,2,2,5,2,0.511296254157354
117,1,6,1,10,2,7,2,5,7,4,6,1,5,9,1,0,7,3,6,4,2,2,5,2,0.501294097312159
118,1,6,1,10,2,7,4,5,7,4,6,1,5,9,1,1,7,3,6,4,2,2,5,2,0.516417967675799
119,1,6,1,10,2,7,3,5,7,4,6,1,5,9,1,9,7,3,6,4,2,2,5,2,0.561522717708483
120,1,6,1,2,2,7,3,5,7,4,6,1,5,9,1,1,7,3,6,4,2,2,5,2,0.562249711003696
121,1,6,1,2,2,7,3,5,7,4,6,1,5,1,1,9,7,3,6,4,2,2,5,2,0.56786722016344
122,1,10,1,10,2,7,1,5,7,4,6,1,5,1,1,9,7,3,6,4,2,2,5,2,0.523950573242932
123,1,10,1,10,2,7,3,5,7,4,6,1,5,1,1,9,7,3,6,4,2,2,5,2,0.519246169050755
124,1,10,1,10,2,7,3,5,7,4,6,1,5,5,1,9,7,3,6,4,2,2,5,2,0.600080187698729
125,1,10,1,10,2,7,3,5,7,4,6,1,5,9,1,9,7,3,6,4,2,2,5,2,0.529288501927062
126,1,0,1,0,2,7,3,5,7,4,6,1,5,5,1,9,7,3,6,4,2,2,5,2,0.566001492084007
127,1,0,1,0,2,7,3,5,7,4,6,1,5,5,1,0,7,3,6,4,2,2,5,2,0.508947193001885
128,1,10,1,0,2,7,3,5,7,4,6,1,5,5,1,0,7,3,6,4,2,2,5,2,0.640693554016132
129,1,0,1,12,2,7,3,5,7,4,6,1,5,5,1,0,7,3,6,4,2,2,5,2,0.622258800560837
130,1,10,1,0,2,7,3,9,7,4,6,1,5,5,1,9,7,3,6,4,2,2,5,2,0.501552827201398
131,1,6,1,0,2,7,3,5,7,4,6,1,5,5,1,0,7,3,6,4,2,2,5,2,0.586008930422341
132,1,10,1,0,2,7,3,5,7,4,6,1,5,9,1,0,7,3,6,4,2,2,5,2,0.604684705199353
133,1,6,1,6,2,7,3,5,7,4,6,1,5,5,1,0,7,3,6,4,2,2,5,2,0.512406491346601
134,1,6,1,10,2,7,3,5,7,4,6,1,5,5,1,0,7,3,6,4,2,2,5,2,0.60082425745788
135,1,6,1,12,2,7,2,5,7,4,6,1,5,5,1,0,7,3,6,4,2,2,5,2,0.527684794800334
136,1,0,1,12,2,7,1,5,7,4,6,1,5,5,1,0,7,3,6,4,2,2,5,2,0.626875284915637
137,1,0,1,12,2,7,1,5,7,4,6,1,5,9,1,0,7,3,6,4,2,2,5,2,0.619530383224158
138,1,0,1,12,2,7,1,5,7,4,6,1,5,9,1,9,7,3,6,4,2,2,5,2,0.519950117026378
139,1,0,1,12,2,7,1,5,7,4,6,1,5,9,1,0,7,3,6,4,6,2,5,2,0.531277068872495
140,1,0,1,12,2,7,1,5,7,4,6,1,5,0,1,9,7,3,6,4,2,2,5,2,0.601649292828021
141,1,0,1,12,2,7,1,5,7,4,6,1,5,5,1,9,7,3,6,4,2,2,5,2,0.52657337343352
142,1,0,1,12,2,7,3,5,7,4,6,1,5,0,1,9,7,3,6,4,2,2,5,2,0.512316794536042
143,1,0,1,8,2,7,1,5,7,4,6,1,5,0,1,9,7,3,6,4,2,2,5,2,0.572609680657004
144,1,0,1,12,2,7,2,5,7,4,6,1,5,0,1,11,7,3,6,4,2,2,5,10,0.540685445312997
